,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,date
118,115,National Life Insurance Co. Ltd.,327,1202.00,1165.00,1165.00,43624.00,51356516.00,1180.00,-15.00,2021-04-01
119,116,National Microfinance Bittiya Sanstha Ltd.,92,3200.00,3090.00,3120.00,5748.00,17885835.00,3160.00,-40.00,2021-04-01
120,117,Neco Insurance Co. Ltd.,568,1753.00,1671.00,1689.00,69907.00,117679351.00,1670.00,19.00,2021-04-01
121,118,Nepal Bangladesh Bank Limited,982,391.00,369.00,377.00,407036.00,152292206.00,373.00,4.00,2021-04-01
122,119,Nepal Bank Limited,425,465.00,439.00,443.00,132276.00,58458771.00,443.00,0.00,2021-04-01
123,120,Nepal Credit And Commercial Bank Limited,262,320.00,316.00,318.00,74423.00,23694252.00,320.00,-2.00,2021-04-01
124,Page 6/11 «First ‹Prev 12345678910Next›Last»,,,,,,,,,,2021-04-01
125,121,Nepal Doorsanchar Comapany Limited,926,1294.00,1223.00,1280.00,129792.00,164368024.00,1229.00,51.00,2021-04-01
126,122,Nepal Finance Ltd.,220,325.00,308.00,317.00,30706.00,9655841.00,307.00,10.00,2021-04-01
127,123,Nepal Hydro Developers Ltd.,63,315.00,296.00,305.00,4177.00,1278302.00,302.00,3.00,2021-04-01
