,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,date
178,172,Samriddhi Finance Company Limited,78,207.00,202.00,206.00,19340.00,3939880.00,203.00,3.00,2021-04-01
179,173,Samudayik Laghubitta Bittiya Sanstha Limited,69,1370.00,1320.00,1332.00,3857.00,5155189.00,1370.00,-38.00,2021-04-01
180,174,Sana Kisan Bikas Bank Ltd,114,1690.00,1671.00,1680.00,8545.00,14395026.00,1686.00,-6.00,2021-04-01
181,175,Sanima Bank Limited,503,382.00,375.00,376.00,145930.00,55136522.00,376.00,0.00,2021-04-01
182,176,Sanima Bank Limited Debenture,2,1050.00,1048.00,1048.00,50.00,52450.00,1046.00,2.00,2021-04-01
183,177,Sanima Equity Fund,44,14.07,13.97,13.98,361410.00,5067587.80,14.05,-0.07,2021-04-01
184,178,Sanima General Insurance Limited,1260,814.00,736.00,745.00,78557.00,59873674.00,776.00,-31.00,2021-04-01
185,179,Sanima Large Cap Fund,46,10.05,9.78,9.96,27550.00,275444.50,9.97,-0.01,2021-04-01
186,180,Sanima Mai Hydropower Ltd.,346,368.00,347.00,358.00,118749.00,42626575.00,352.00,6.00,2021-04-01
187,Page 9/11 «First ‹Prev 12345678910Next›Last»,,,,,,,,,,2021-04-01
188,181,SANJEN JALAVIDHYUT COMPANY LIMITED,1691,385.00,348.00,385.00,212519.00,79643837.00,350.00,35.00,2021-04-01
189,182,Saptakoshi Development Bank Ltd,77,172.00,163.00,169.00,9865.00,1652461.00,163.00,6.00,2021-04-01
190,183,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,71,1659.00,1587.00,1587.00,4178.00,6723688.00,1596.00,-9.00,2021-04-01
191,184,Shangrila Development Bank Ltd.,225,214.00,204.00,210.00,76144.00,15925906.00,202.00,8.00,2021-04-01
192,185,Shikhar Insurance Co. Ltd.,338,2083.00,1955.00,1980.00,29645.00,58609608.00,1984.00,-4.00,2021-04-01
193,186,Shine Resunga Development Bank Ltd.,225,276.00,265.00,267.00,62158.00,16752249.00,266.00,1.00,2021-04-01
194,187,Shiva Shree Hydropower Ltd,304,219.00,206.00,209.00,103170.00,21522534.00,209.00,0.00,2021-04-01
195,188,SHIVAM CEMENTS LTD,306,1501.00,1421.00,1430.00,25020.00,35854278.00,1430.00,0.00,2021-04-01
196,189,Shree Investment Finance Co. Ltd.,138,247.00,225.00,247.00,73613.00,17537189.00,225.00,22.00,2021-04-01
197,190,Siddhartha Bank Limited,488,435.00,423.00,425.00,211138.00,90346162.00,427.00,-2.00,2021-04-01
198,191,Siddhartha Equity Fund,20,12.10,11.80,11.94,65400.00,778950.00,12.00,-0.06,2021-04-01
199,192,Siddhartha Insurance Ltd.,241,1269.00,1248.00,1248.00,42919.00,53784827.00,1253.00,-5.00,2021-04-01
200,193,Siddhartha Investment Growth Scheme - 2,5,12.30,12.06,12.28,2400.00,29225.00,12.25,0.03,2021-04-01
201,194,Sindhu Bikash Bank Ltd,133,191.00,185.00,190.00,33996.00,6405335.00,187.00,3.00,2021-04-01
202,195,Soaltee Hotel Limited,93,203.00,196.00,200.00,46873.00,9425248.00,202.00,-2.00,2021-04-01
203,196,Standard Chartered Bank Limited,543,620.00,597.00,620.00,73370.00,44350962.00,601.00,19.00,2021-04-01
204,197,Summit Laghubitta Bittiya Sanstha Limited,387,1678.00,1532.00,1549.00,25551.00,39737786.00,1599.00,-50.00,2021-04-01
205,198,Sunrise Bank Limited,424,322.00,313.00,318.00,85469.00,27102108.00,317.00,1.00,2021-04-01
206,199,Sunrise First Mutual Fund,9,12.92,12.76,12.83,51999.00,667493.08,12.92,-0.09,2021-04-01
207,200,Support Microfinance Bittiya Sanstha Ltd.,73,2480.00,2318.00,2399.00,2590.00,6271607.00,2365.00,34.00,2021-04-01
208,201,Surya Life Insurance Company Limited,269,876.00,829.00,835.00,43930.00,36963059.00,835.00,0.00,2021-04-01
209,202,Suryodaya Laghubitta Bittiya Sanstha Ltd.,134,2041.00,1965.00,1965.00,6358.00,12662028.00,1960.00,5.00,2021-04-01
210,203,Swabalamban Laghubitta Bittiya Sanstha Limited,123,1790.00,1746.00,1769.00,15862.00,28047532.00,1767.00,2.00,2021-04-01
211,204,Swabhimaan Laghubitta Bittiya Sanstha Limited,131,2733.00,2635.00,2718.00,5862.00,15598902.00,2644.00,74.00,2021-04-01
212,205,Swarojgar Laghu Bitta Bikas Bank Ltd.,169,1428.00,1390.00,1392.00,14439.00,20207196.00,1409.00,-17.00,2021-04-01
213,206,Synergy Power Development Ltd.,186,285.00,269.00,274.00,51031.00,13957777.00,269.00,5.00,2021-04-01
214,207,Taragaon Regency Hotel Limited,78,331.00,316.00,321.00,20642.00,6636599.00,319.00,2.00,2021-04-01
215,208,Unilever Nepal Limited,10,20300.00,19797.00,20300.00,140.00,2813450.00,20200.00,100.00,2021-04-01
216,209,Union Hydropower Limited,112,127.00,123.00,124.00,23807.00,2960965.00,125.00,-1.00,2021-04-01
217,210,United Finance Ltd.,158,420.00,379.00,420.00,53064.00,21413271.00,382.00,38.00,2021-04-01
218,211,United IDI Mardi RB Hydropower Limited.,245,322.00,300.00,302.00,12433.00,3754116.00,310.00,-8.00,2021-04-01
219,212,United Insurance Co. (Nepal) Ltd.,1164,753.00,702.00,709.00,170415.00,122791119.00,718.00,-9.00,2021-04-01
220,213,United Modi Hydropower Ltd.,599,192.00,178.00,190.00,216284.00,40152801.00,181.00,9.00,2021-04-01
221,214,UNIVERSAL POWER COMPANY LTD,260,147.00,145.00,146.00,50174.00,7329624.00,145.00,1.00,2021-04-01
222,215,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,38,2505.00,2345.00,2380.00,1991.00,4709672.00,2386.00,-6.00,2021-04-01
223,216,Upper Tamakoshi Hydropower Ltd,2620,900.00,873.00,879.00,342329.00,302272688.00,898.00,-19.00,2021-04-01
224,217,Vijaya laghubitta Bittiya Sanstha Ltd.,145,1665.00,1600.00,1640.00,6938.00,11295042.00,1665.00,-25.00,2021-04-01
225,218,Womi Microfinance Bittiya Sanstha Ltd.,11,1371.00,1271.00,1371.00,848.00,1143559.00,1247.00,124.00,2021-04-01
